"feature","feature_label","pvalue_source","pvalue_name","p.value","p.adj","p.adj.signif","p_text","n","n_patient","test_type"
"Zygosaccharomyces_rouxii","Zygosaccharomyces_rouxii","pairwise_slope","UC_slope_vs_nonIBD",0.0319905095181622,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.032, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Candida_albicans","Candida_albicans","anova_diagnosis","diagnosis",0.291612656946138,0.507970434680369,"ns","LMM diagnosis effect: p=0.292, FDR=0.508 ns",275,21,"LMM_ANOVA"
"Candida_auris","Candida_auris","anova_diagnosis","diagnosis",0.394237572898818,0.575373755041518,"ns","LMM diagnosis effect: p=0.394, FDR=0.575 ns",275,21,"LMM_ANOVA"
"Candida_dubliniensis","Candida_dubliniensis","anova_diagnosis","diagnosis",0.142587474056542,0.384986179952663,"ns","LMM diagnosis effect: p=0.143, FDR=0.385 ns",275,21,"LMM_ANOVA"
"Candida_orthopsilosis","Candida_orthopsilosis","anova_diagnosis","diagnosis",0.385655857946792,0.575373755041518,"ns","LMM diagnosis effect: p=0.386, FDR=0.575 ns",275,21,"LMM_ANOVA"
"Debaryomyces_hansenii","Debaryomyces_hansenii","anova_diagnosis","diagnosis",0.584301609690068,0.722864036767001,"ns","LMM diagnosis effect: p=0.584, FDR=0.723 ns",275,21,"LMM_ANOVA"
"Dekkera_bruxellensis","Dekkera_bruxellensis","anova_diagnosis","diagnosis",0.358088351516934,0.552479170911841,"ns","LMM diagnosis effect: p=0.358, FDR=0.552 ns",275,21,"LMM_ANOVA"
"Fusarium_graminearum","Fusarium_graminearum","anova_diagnosis","diagnosis",0.471784083894709,0.623396966032054,"ns","LMM diagnosis effect: p=0.472, FDR=0.623 ns",275,21,"LMM_ANOVA"
"Fusarium_poae","Fusarium_poae","anova_diagnosis","diagnosis",0.284353190272081,0.507970434680369,"ns","LMM diagnosis effect: p=0.284, FDR=0.508 ns",275,21,"LMM_ANOVA"
"Holleya_sinecauda","Holleya_sinecauda","anova_diagnosis","diagnosis",0.236387257124146,0.502844953237833,"ns","LMM diagnosis effect: p=0.236, FDR=0.503 ns",275,21,"LMM_ANOVA"
"Issatchenkia_orientalis","Issatchenkia_orientalis","anova_diagnosis","diagnosis",0.908431166747333,0.917207505680886,"ns","LMM diagnosis effect: p=0.908, FDR=0.917 ns",275,21,"LMM_ANOVA"
"Kluyveromyces_lactis","Kluyveromyces_lactis","anova_diagnosis","diagnosis",0.277720008962718,0.507970434680369,"ns","LMM diagnosis effect: p=0.278, FDR=0.508 ns",275,21,"LMM_ANOVA"
"Kluyveromyces_marxianus","Kluyveromyces_marxianus","anova_diagnosis","diagnosis",0.278699879340148,0.507970434680369,"ns","LMM diagnosis effect: p=0.279, FDR=0.508 ns",275,21,"LMM_ANOVA"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","anova_diagnosis","diagnosis",0.131120308085735,0.372657717717352,"ns","LMM diagnosis effect: p=0.131, FDR=0.373 ns",275,21,"LMM_ANOVA"
"Malassezia_restricta","Malassezia_restricta","anova_diagnosis","diagnosis",0.00104514266511378,0.056437703916144,"ns","LMM diagnosis effect: p=0.00105, FDR=0.0564 ns",275,21,"LMM_ANOVA"
"Saccharomyces_cerevisiae","Saccharomyces_cerevisiae","anova_diagnosis","diagnosis",0.256048943458957,0.507970434680369,"ns","LMM diagnosis effect: p=0.256, FDR=0.508 ns",275,21,"LMM_ANOVA"
"Thanatephorus_cucumeris","Thanatephorus_cucumeris","anova_diagnosis","diagnosis",0.228358023224372,0.502844953237833,"ns","LMM diagnosis effect: p=0.228, FDR=0.503 ns",275,21,"LMM_ANOVA"
"Torulaspora_delbrueckii","Torulaspora_delbrueckii","anova_diagnosis","diagnosis",0.184181711518108,0.473610115332279,"ns","LMM diagnosis effect: p=0.184, FDR=0.474 ns",275,21,"LMM_ANOVA"
"Zygosaccharomyces_rouxii","Zygosaccharomyces_rouxii","anova_diagnosis","diagnosis",0.303313640860575,0.51184176895222,"ns","LMM diagnosis effect: p=0.303, FDR=0.512 ns",275,21,"LMM_ANOVA"
"Candida_albicans","Candida_albicans","anova_interaction","diagnosis:week",0.0171940787726003,0.185696050744083,"ns","LMM diagnosis × week: p=0.0172, FDR=0.186 ns",275,21,"LMM_ANOVA"
"Candida_auris","Candida_auris","anova_interaction","diagnosis:week",0.0359382585577157,0.237375693481379,"ns","LMM diagnosis × week: p=0.0359, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Candida_dubliniensis","Candida_dubliniensis","anova_interaction","diagnosis:week",0.10643682501311,0.319310475039331,"ns","LMM diagnosis × week: p=0.106, FDR=0.319 ns",275,21,"LMM_ANOVA"
"Candida_orthopsilosis","Candida_orthopsilosis","anova_interaction","diagnosis:week",0.0618254032219234,0.237375693481379,"ns","LMM diagnosis × week: p=0.0618, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Debaryomyces_hansenii","Debaryomyces_hansenii","anova_interaction","diagnosis:week",0.886416403555951,0.917207505680886,"ns","LMM diagnosis × week: p=0.886, FDR=0.917 ns",275,21,"LMM_ANOVA"
"Dekkera_bruxellensis","Dekkera_bruxellensis","anova_interaction","diagnosis:week",0.0618442499440594,0.237375693481379,"ns","LMM diagnosis × week: p=0.0618, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Fusarium_graminearum","Fusarium_graminearum","anova_interaction","diagnosis:week",0.242110533040438,0.502844953237833,"ns","LMM diagnosis × week: p=0.242, FDR=0.503 ns",275,21,"LMM_ANOVA"
"Fusarium_poae","Fusarium_poae","anova_interaction","diagnosis:week",0.0474457404063944,0.237375693481379,"ns","LMM diagnosis × week: p=0.0474, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Holleya_sinecauda","Holleya_sinecauda","anova_interaction","diagnosis:week",0.0575268076770053,0.237375693481379,"ns","LMM diagnosis × week: p=0.0575, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Issatchenkia_orientalis","Issatchenkia_orientalis","anova_interaction","diagnosis:week",0.917207505680886,0.917207505680886,"ns","LMM diagnosis × week: p=0.917, FDR=0.917 ns",275,21,"LMM_ANOVA"
"Kluyveromyces_lactis","Kluyveromyces_lactis","anova_interaction","diagnosis:week",0.0541307726803861,0.237375693481379,"ns","LMM diagnosis × week: p=0.0541, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Kluyveromyces_marxianus","Kluyveromyces_marxianus","anova_interaction","diagnosis:week",0.0692823377164705,0.237375693481379,"ns","LMM diagnosis × week: p=0.0693, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","anova_interaction","diagnosis:week",0.0642025071010899,0.237375693481379,"ns","LMM diagnosis × week: p=0.0642, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Malassezia_restricta","Malassezia_restricta","anova_interaction","diagnosis:week",0.105161549400315,0.319310475039331,"ns","LMM diagnosis × week: p=0.105, FDR=0.319 ns",275,21,"LMM_ANOVA"
"Saccharomyces_cerevisiae","Saccharomyces_cerevisiae","anova_interaction","diagnosis:week",0.00467849861067399,0.126319462488198,"ns","LMM diagnosis × week: p=0.00468, FDR=0.126 ns",275,21,"LMM_ANOVA"
"Thanatephorus_cucumeris","Thanatephorus_cucumeris","anova_interaction","diagnosis:week",0.0437419959349103,0.237375693481379,"ns","LMM diagnosis × week: p=0.0437, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Torulaspora_delbrueckii","Torulaspora_delbrueckii","anova_interaction","diagnosis:week",0.0592509363828181,0.237375693481379,"ns","LMM diagnosis × week: p=0.0593, FDR=0.237 ns",275,21,"LMM_ANOVA"
"Zygosaccharomyces_rouxii","Zygosaccharomyces_rouxii","anova_interaction","diagnosis:week",0.0703335388092974,0.237375693481379,"ns","LMM diagnosis × week: p=0.0703, FDR=0.237 ns",275,21,"LMM_ANOVA"
